id_player;experiment_condition;turn_token;turn_number;position_clicked;time_game;time_until_match;match;game_ended;board_changed;robot_speech;wrong_card;subject
3;CS1;human;1;[0, 1];0:2;0:2;False;False;False;False;False;
3;CS1;human;2;[1, 3];0:4;0:4;False;False;False;math;False;
3;CS1;human;3;[1, 1];0:7;0:7;False;False;False;geography;False;
3;CS1;human;4;[2, 2];0:8;0:8;False;False;False;False;False;
3;CS1;math;5;[2, 2];0:16;0:16;False;False;False;math;False;math
3;CS1;math;6;[0, 0];0:18;0:18;False;False;False;False;True;math
3;CS1;human;7;[3, 0];0:22;0:22;False;False;False;False;False;
3;CS1;human;8;[1, 1];0:24;0:24;True;False;False;geography;False;
3;CS1;human;9;[2, 2];0:26;0:2;False;False;False;False;False;
3;CS1;human;10;[2, 0];0:28;0:4;False;False;False;math;False;
3;CS1;geography;11;[3, 3];0:30;0:6;False;False;False;False;False;geography
3;CS1;geography;12;[3, 1];0:31;0:7;False;False;False;math;False;geography
3;CS1;human;13;[3, 2];0:34;0:10;False;False;False;False;False;
3;CS1;human;14;[1, 3];0:36;0:12;False;False;False;False;False;
3;CS1;math;15;[1, 3];0:40;0:16;False;False;False;math;False;math
3;CS1;math;16;[0, 2];0:41;0:17;False;False;False;False;True;math
3;CS1;human;17;[0, 1];0:45;0:21;False;False;False;geography;False;
3;CS1;human;18;[0, 2];0:46;0:22;True;False;False;geography;False;
3;CS1;geography;19;[2, 1];0:46;0:0;False;False;False;False;False;geography
3;CS1;geography;20;[1, 0];0:47;0:1;False;False;False;False;False;geography
3;CS1;human;21;[3, 1];0:51;0:5;False;False;False;math;False;
3;CS1;human;22;[0, 3];0:55;0:9;False;False;False;False;False;
3;CS1;human;23;[1, 2];1:0;0:14;False;False;False;False;False;
3;CS1;human;24;[3, 3];1:2;0:16;True;False;False;False;False;
3;CS1;math;25;[2, 2];1:4;0:2;False;False;False;False;False;math
3;CS1;math;26;[2, 3];1:5;0:3;False;False;False;math;False;math
3;CS1;human;27;[3, 1];1:9;0:7;False;False;False;False;False;
3;CS1;human;28;[2, 3];1:10;0:8;True;False;False;math;False;
3;CS1;geography;29;[0, 3];1:12;0:2;False;False;False;geography;False;geography
3;CS1;geography;30;[3, 2];1:14;0:4;True;False;False;geography;False;geography
3;CS1;human;31;[2, 0];1:18;0:4;False;False;False;math;False;
3;CS1;human;32;[1, 3];1:19;0:5;False;False;True;False;False;
3;CS1;math;33;[1, 0];1:22;0:8;False;False;False;False;False;math
3;CS1;math;34;[2, 0];1:23;0:9;True;False;False;math;False;math
3;CS1;geography;35;[2, 1];1:26;0:3;False;False;False;math;False;geography
3;CS1;human;36;[0, 0];1:34;0:11;False;False;False;math;False;
3;CS1;human;37;[1, 3];1:36;0:13;False;False;False;False;False;
3;CS1;human;38;[0, 0];1:40;0:17;True;False;False;math;False;
3;CS1;human;39;[2, 1];1:41;0:1;False;False;False;False;False;
3;CS1;human;40;[2, 2];1:42;0:2;True;True;False;False;False;
